exit_reason,exit_time,entry_credit,exit_credit,pnl,entry_time,entry_date,expiry,signal,short_offset,hedge_offset,option_type,lot_size
Intra-Bar Target Hit,2022-05-23 09:15:00,49.6,17.36,1612.0,2022-05-20 14:00:00,2022-05-20,2022-05-26,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-05-24 09:15:00,48.65,90.0,-2067.63,2022-05-23 11:00:00,2022-05-23,2022-05-26,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-05-25 13:15:00,38.95,13.63,1265.88,2022-05-25 11:00:00,2022-05-25,2022-05-26,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-05-26 14:15:00,6.0,2.1,195.0,2022-05-26 14:00:00,2022-05-26,2022-05-26,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-05-31 13:15:00,62.55,21.89,2032.87,2022-05-30 11:00:00,2022-05-30,2022-06-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-05-31 13:15:00,62.1,21.73,2018.25,2022-05-31 13:00:00,2022-05-31,2022-06-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-06-03 09:15:00,58.05,20.32,1886.62,2022-06-02 12:00:00,2022-06-02,2022-06-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-06-10 11:15:00,42.0,77.7,-1785.0,2022-06-10 11:00:00,2022-06-10,2022-06-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-06-17 09:15:00,64.05,118.49,-2722.13,2022-06-14 14:00:00,2022-06-14,2022-06-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-06-17 09:15:00,64.95,120.16,-2760.38,2022-06-15 15:00:00,2022-06-15,2022-06-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-06-17 14:15:00,69.25,24.24,2250.62,2022-06-17 10:00:00,2022-06-17,2022-06-30,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-06-22 09:15:00,47.1,16.49,1530.75,2022-06-21 11:00:00,2022-06-21,2022-06-30,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-07-06 09:15:00,56.75,104.99,-2411.87,2022-07-05 11:00:00,2022-07-05,2022-07-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-07-07 09:15:00,56.05,19.62,1821.63,2022-07-06 15:00:00,2022-07-06,2022-07-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Trend Reversal,2022-07-18 10:15:00,59.9,62.6,-135.0,2022-07-13 12:00:00,2022-07-13,2022-07-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Trend Reversal,2022-07-18 10:15:00,58.15,62.6,-222.5,2022-07-14 14:00:00,2022-07-14,2022-07-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Gap Stop Loss,2022-07-20 09:15:00,41.9,94.4,-2625.0,2022-07-18 12:00:00,2022-07-18,2022-07-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Stop Loss,2022-07-20 09:15:00,44.8,94.4,-2480.0,2022-07-19 14:00:00,2022-07-19,2022-07-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-07-21 09:15:00,42.3,14.8,1374.75,2022-07-20 12:00:00,2022-07-20,2022-07-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-07-22 09:15:00,43.0,15.05,1397.5,2022-07-21 15:00:00,2022-07-21,2022-07-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-07-25 09:15:00,44.55,15.59,1447.88,2022-07-22 10:00:00,2022-07-22,2022-07-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2022-07-28 09:15:00,29.5,6.8,1135.0,2022-07-26 14:00:00,2022-07-26,2022-07-28,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-07-28 11:15:00,10.45,3.66,339.62,2022-07-28 11:00:00,2022-07-28,2022-07-28,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2022-08-01 09:15:00,47.9,-18.7,3330.0,2022-07-29 15:00:00,2022-07-29,2022-08-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-08-02 15:15:00,50.4,17.64,1638.0,2022-08-01 12:00:00,2022-08-01,2022-08-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-08-02 15:15:00,51.35,17.97,1668.88,2022-08-02 14:00:00,2022-08-02,2022-08-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Stop Loss,2022-08-04 11:15:00,54.25,100.36,-2305.63,2022-08-04 10:00:00,2022-08-04,2022-08-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2022-08-10 09:15:00,49.9,4.0,2295.0,2022-08-05 10:00:00,2022-08-05,2022-08-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2022-08-10 09:15:00,46.45,4.0,2122.5,2022-08-08 13:00:00,2022-08-08,2022-08-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Gap Target Hit,2022-08-16 09:15:00,47.05,8.05,1950.0,2022-08-12 12:00:00,2022-08-12,2022-08-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-08-19 10:15:00,42.4,14.84,1378.0,2022-08-17 11:00:00,2022-08-17,2022-08-25,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-08-22 09:15:00,49.3,17.25,1602.25,2022-08-19 12:00:00,2022-08-19,2022-08-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Stop Loss,2022-08-23 09:15:00,32.6,60.31,-1385.5,2022-08-22 12:00:00,2022-08-22,2022-08-25,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Gap Target Hit,2022-09-01 09:15:00,49.4,4.65,2237.5,2022-08-30 15:00:00,2022-08-30,2022-09-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-09-13 09:15:00,55.4,19.39,1800.5,2022-09-08 14:00:00,2022-09-08,2022-09-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-09-14 09:15:00,44.65,15.63,1451.13,2022-09-13 12:00:00,2022-09-13,2022-09-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-09-21 09:15:00,51.7,18.09,1680.25,2022-09-20 12:00:00,2022-09-20,2022-09-29,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-09-23 09:15:00,59.7,20.89,1940.25,2022-09-22 11:00:00,2022-09-22,2022-09-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-09-26 09:15:00,58.7,20.54,1907.75,2022-09-23 12:00:00,2022-09-23,2022-09-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-09-29 09:15:00,36.4,12.74,1183.0,2022-09-28 10:00:00,2022-09-28,2022-09-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-09-29 13:15:00,9.1,3.19,295.75,2022-09-29 13:00:00,2022-09-29,2022-09-29,BEARISH_ENTRY,ATM+2,ATM+5,CALL,50
Intra-Bar Target Hit,2022-10-04 09:15:00,55.45,19.41,1802.12,2022-09-30 13:00:00,2022-09-30,2022-10-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-10-06 09:15:00,52.05,18.22,1691.62,2022-10-04 15:00:00,2022-10-04,2022-10-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
Intra-Bar Target Hit,2022-10-21 09:15:00,45.65,15.98,1483.62,2022-10-20 14:00:00,2022-10-20,2022-10-27,BULLISH_ENTRY,ATM-2,ATM-5,PUT,50
